SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
676GS2061, GS, 27-Jul-2026,92.52,92.52,93.5,92.52,92.83,92.8,92.81,61907,57.45,33,60902,98.38
679GS2031, GS, 27-Jul-2026,100,100,100,99,99,99.15,99.32,5300,5.26,13,5300,100
690GS2065, GS, 27-Jul-2026,93.37,94,94.2,93.35,93.55,93.55,93.62,15011,14.05,23,15009,99.99
694GS2036, GS, 27-Jul-2026,102.4,102.01,102.01,102.01,102.01,102.01,102.01,200,0.2,2,200,100
695GS2061, GS, 27-Jul-2026,94,94,94,93,93,93.12,93.12,501,0.47,4,501,100
699GS2051, GS, 27-Jul-2026,97.5,97.8,97.8,95,95,95,97.76,252,0.25,3,252,100
702GS2027, GS, 27-Jul-2026,101.2,101.25,101.26,101,101.26,101.26,101.2,24904,25.2,15,24902,99.99
702GS2031, GS, 27-Jul-2026,102.79,102.8,102.8,102.8,102.8,102.8,102.8,42,0.04,1,42,100
704GS2029, GS, 27-Jul-2026,101,101.55,101.55,101.55,101.55,101.55,101.55,5000,5.08,1,5000,100
706GS2028, GS, 27-Jul-2026,103,103,103,103,103,103,103,33,0.03,1,33,100
709GS2054, GS, 27-Jul-2026,99.24,100,100,99,99.2,99.2,99.19,254,0.25,7,254,100
709GS2074, GS, 27-Jul-2026,95.3,95.3,95.75,95.3,95.74,95.74,95.31,4783,4.56,10,4520,94.5
710GS2029, GS, 27-Jul-2026,103.2,104.19,104.19,104.19,104.19,104.19,104.19,1,0,1,1,100
716GS2050, GS, 27-Jul-2026,100.01,98.01,102,98,102,102,99.1,6210,6.15,8,3210,51.69
717GS2030, GS, 27-Jul-2026,104.3,104.3,104.3,103.1,103.1,103.1,104.01,3951,4.11,4,3951,100
718GS2037, GS, 27-Jul-2026,102,101.21,102.34,101.21,102.34,102.34,101.58,6302,6.4,6,6000,95.21
71GS2034, GS, 27-Jul-2026,103.2,102.35,102.35,102.35,102.35,102.35,102.35,3000,3.07,1,3000,100
724GS2055, GS, 27-Jul-2026,101.07,101.07,101.35,100.6,101.31,101.31,100.81,11556,11.65,21,11553,99.97
725GS2063, GS, 27-Jul-2026,97.09,97.9,97.9,97.33,97.54,97.43,97.43,63602,61.97,82,63106,99.22
726GS2032, GS, 27-Jul-2026,106.25,104.26,106,104.26,105.5,105.52,105.5,10502,11.08,7,7501,71.42
726GS2033, GS, 27-Jul-2026,105.76,105.5,105.5,105.5,105.5,105.5,105.5,10,0.01,1,10,100
734GS2064, GS, 27-Jul-2026,99.4,99.56,99.8,99.35,99.5,99.48,99.5,41008,40.8,36,41007,100
736GS2052, GS, 27-Jul-2026,101.65,100.9,101.25,100.51,101.25,101.25,100.76,510,0.51,10,343,67.25
737GS2028, GS, 27-Jul-2026,105,105,105,102,102,102.41,102.87,22700,23.35,12,22700,100
738GS2027, GS, 27-Jul-2026,102,101.7,102.1,101.7,101.99,101.95,101.94,14652,14.94,20,14652,100
73GS2053, GS, 27-Jul-2026,100.24,100.24,100.24,99.6,100.14,100.13,100.02,65571,65.58,18,65411,99.76
741GS2036, GS, 27-Jul-2026,104.14,104.5,105.2,104.16,104.6,104.61,104.47,189949,198.43,43,172848,91
743GS2076, GS, 27-Jul-2026,98.9,98.9,99.54,97.7,99.41,99.41,99.31,105197,104.47,148,101760,96.73
746GS2073, GS, 27-Jul-2026,100.99,102.45,102.45,100.5,101,101,100.98,3087,3.12,7,3087,100
74GS2062, GS, 27-Jul-2026,101.45,100.3,101.5,100.05,101.5,101,100.74,707,0.71,7,707,100
750GS2056, GS, 27-Jul-2026,103,103,103,103,103,103,103,45,0.05,3,45,100
754GS2036, GS, 27-Jul-2026,106.18,106.16,106.92,106.15,106.41,106.5,106.4,301847,321.17,166,288454,95.56
769GS2043, GS, 27-Jul-2026,105.4,105,105,103,103,103,104.96,397,0.42,2,397,100
771GS2066, GS, 27-Jul-2026,104.25,104.2,105,104.05,104.05,104.05,104.21,104,0.11,5,101,97.12
772GS2049, GS, 27-Jul-2026,114.54,108.85,108.85,108.85,108.85,108.85,108.85,1,0,1,1,100
824GS2027, GS, 27-Jul-2026,105.98,106,106,106,106,106,106,1501,1.59,2,1500,99.93
897GS2030, GS, 27-Jul-2026,110.72,111,111,110.9,110.9,110.9,110.95,5102,5.66,28,5102,100
92GS2030, GS, 27-Jul-2026,114.9,117.77,117.77,113.84,113.84,113.84,114,4479,5.11,5,4479,100
A2ZINFRA, EQ, 27-Jul-2026,12.46,12.6,12.8,12.25,12.25,12.34,12.43,290010,36.04,360,221579,76.4
AAATECH, EQ, 27-Jul-2026,89.66,90.62,92.38,89.66,91.72,91.4,91.63,4946,4.53,430,1951,39.45
AADHARHFC, EQ, 27-Jul-2026,495,500,507.6,497.3,501.3,502,503.97,223206,1124.89,8845,126835,56.82
AAKAAR, SM, 27-Jul-2026,71.2,67.7,68,67.7,68,68,67.8,4800,3.25,3,4800,100
AAKASH, EQ, 27-Jul-2026,8.92,8.96,9.18,8.9,9,9,9,102950,9.26,231,64242,62.4
AAREYDRUGS, BE, 27-Jul-2026,77.5,75.95,75.95,75.95,75.95,75.95,75.95,3868,2.94,22, -, -
AARNAV, EQ, 27-Jul-2026,28.32,28.38,32.8,28.38,31.64,31.63,31.44,164190,51.62,1394,66050,40.23
AARON, EQ, 27-Jul-2026,135.25,152,154.8,136.85,138.43,141.95,143.93,476997,686.56,8237,89051,18.67
AARTECH, BE, 27-Jul-2026,47.93,47.01,48.6,47.01,47.21,47.21,47.41,6581,3.12,68, -, -
AARTIDRUGS, EQ, 27-Jul-2026,404.5,406.35,416.6,406.35,410,410.95,412.08,83432,343.81,3287,45480,54.51
AARTIIND, EQ, 27-Jul-2026,477.8,480,489.7,480,485,486.1,485.93,357510,1737.24,11812,152781,42.73
AARTIPHARM, EQ, 27-Jul-2026,673.8,685,692.95,675.05,683.05,684.35,685.58,105041,720.14,11994,54639,52.02
AARTISURF, EQ, 27-Jul-2026,381.6,381.6,408.9,381.6,394.25,398.3,400.21,23122,92.54,1645,12418,53.71
AARVI, EQ, 27-Jul-2026,154.89,155.5,160.99,155.01,155.01,157.32,158.24,16612,26.29,704,6560,39.49
AASTHA, EQ, 27-Jul-2026,102.62,103.95,104.19,102,102.02,102.37,102.55,10078967,10336.17,37295,596612,5.92
AATMAJ, SM, 27-Jul-2026,17.75,18.5,18.5,18.5,18.5,18.5,18.5,4000,0.74,2,4000,100
AAVAS, EQ, 27-Jul-2026,1379,1398,1398,1380.3,1390,1390.6,1390.52,20553,285.79,4544,10091,49.1
ABAN, BE, 27-Jul-2026,14.93,15.47,15.47,14.9,15,14.96,15.14,29746,4.5,170, -, -
ABANSENT, BE, 27-Jul-2026,26.2,26.55,27.1,25.65,26,26.49,26.66,8568,2.28,51, -, -
ABB, EQ, 27-Jul-2026,7375.5,7419,7434,7225,7330.5,7327.5,7301.29,370848,27076.7,38598,171781,46.32
ABBOTINDIA, EQ, 27-Jul-2026,28005,28015,28155,27750,27820,27800,27881.08,6597,1839.31,3086,3440,52.14
ABCAPITAL, EQ, 27-Jul-2026,393.85,396.75,401.05,396,400,400.45,398.57,1675500,6678.09,27274,743366,44.37
ABCOTS, EQ, 27-Jul-2026,200.38,200.38,203.63,200.38,201,201.58,201.86,2750,5.55,258,1512,54.98
ABDL, EQ, 27-Jul-2026,620.75,630,641.95,621.15,622.6,624.3,631.16,246389,1555.11,14421,108268,43.94
ABFRL, EQ, 27-Jul-2026,56.25,56.88,58.07,56.82,57,57.05,57.45,2012834,1156.44,10620,879187,43.68
ABGSEC, EQ, 27-Jul-2026,113.32,114.54,114.54,114.54,114.54,114.54,114.54,44,0.05,4,44,100
ABHAPOWER, SM, 27-Jul-2026,25.4,25.15,25.15,25.15,25.15,25.15,25.15,1600,0.4,1,1600,100
ABINFRA, EQ, 27-Jul-2026,10.32,10.2,10.5,10.17,10.21,10.33,10.29,379560,39.05,851,130328,34.34
ABLBL, EQ, 27-Jul-2026,94.01,94.57,96.66,94.57,95.02,95.47,95.69,287808,275.39,3849,157113,54.59
ABMINTLLTD, EQ, 27-Jul-2026,41.02,41.05,45.12,41.05,41.3,44.63,43.49,2935,1.28,35,1768,60.24
ABMKNO, EQ, 27-Jul-2026,190.11,195,201,192.11,199.9,197.99,197.11,620,1.22,31,392,63.23
ABREL, EQ, 27-Jul-2026,1374.2,1380.6,1430,1380.6,1407.5,1400.2,1408.26,93552,1317.45,11638,33942,36.28
ABSL10BANK, EQ, 27-Jul-2026,168.46,169.27,169.6,168.75,168.86,169.29,169.4,11415,19.34,29,11244,98.5
ABSLAMC, EQ, 27-Jul-2026,1017,1005.1,1016.9,976.8,990,989.2,993.44,469490,4664.11,37982,226121,48.16
ABSLBANETF, EQ, 27-Jul-2026,58.25,56.79,58.71,56.79,58.58,58.54,58.55,18454,10.8,306,12396,67.17
ABSLLIQUID, EQ, 27-Jul-2026,1000,1000.01,1000.01,999.99,999.99,1000,1000,1207,12.07,25,1150,95.28
ABSLMSCIN, EQ, 27-Jul-2026,29.13,29.32,29.35,29.3,29.35,29.35,29.3,1355,0.4,7,1355,100
ABSLNN50ET, EQ, 27-Jul-2026,75.56,75.56,76.41,75.34,76.29,76.22,76.16,5537,4.22,210,4058,73.29
ABSLPSE, EQ, 27-Jul-2026,10.33,10.3,10.56,10.27,10.38,10.39,10.37,41417,4.3,346,34098,82.33
ABSMARINE, ST, 27-Jul-2026,220.4,225.95,229.1,220,220,220.7,223.16,46000,102.65,61,41500,90.22
ACC, EQ, 27-Jul-2026,1340.9,1343,1365,1332,1362,1358.1,1352.31,206361,2790.65,16570,73351,35.54
ACCELYA, EQ, 27-Jul-2026,1158.9,1175,1180,1150,1165,1160.4,1166.75,21267,248.13,2683,12506,58.8
ACCENTMIC, SM, 27-Jul-2026,494.95,494.25,507.2,494.25,506.5,504.25,503.1,42500,213.82,78,26500,62.35
ACCPL, ST, 27-Jul-2026,164.2,160,160,160,160,160,160,1200,1.92,1,1200,100
